n,angle,val
5,-14.87,72
5,-22.68,72
5,-3.63,73
5,-6.02,73
5,-14.75,73
5,-24.27,73
5,-23.52,73
5,-23.41,73
5,-20.28,73
5,15.7,73
5,-12.88,74
5,-22.8,74
5,-14.97,74
5,-12.49,74
5,-21.99,74
5,-21.73,74
5,-13.85,75
5,-16.85,75
5,-17.92,75
5,-22.52,75
5,-15.46,75
5,10.55,75
5,-1.48,76
5,-24.96,76
5,-24.97,76
5,-25.95,76
5,-13.06,76
5,-4.78,76
5,-6.54,76
5,-9.12,76
5,-0.75,77
5,-2.46,77
5,-24.99,77
5,-23.51,77
5,-13.23,77
5,2.07,77
5,1.17,77
5,0.1,77
5,-11.93,77
5,-2.19,78
5,-9.92,78
5,-17.3,78
5,-18.89,78
5,-24.92,78
5,-22.22,78
5,-21.45,78
5,-21.43,78
5,-16.03,78
5,-18.34,78
5,-21.45,78
5,-20.82,78
5,-5.18,78
5,-8.65,79
5,-24.84,79
5,-23.17,79
5,-23.61,79
5,-13.99,79
5,-15.04,79
5,-13.68,79
5,-14.31,79
5,-2.99,79
5,-4.69,79
5,-13.51,79
5,-15.35,79
5,-21.48,79
5,-8.82,79
5,21.88,79
5,-9.84,80
5,-11.31,80
5,2.89,80
5,0.06,80
5,-7.53,80
5,-14.69,80
5,-17.76,80
5,-23.05,80
5,1,80
5,1.05,80
5,8.6,80
5,1.92,81
5,16.09,81
5,-0.67,81
5,-22.05,81
5,-25.67,81
5,-23.67,81
5,-15.18,81
5,-1.52,81
5,-16.81,81
5,-18.87,81
5,1.73,81
5,5.21,82
5,38.7,82
5,-15.91,82
5,-2.16,82
5,-7.72,82
5,25.25,82
5,-0.48,82
5,-1.37,82
5,1.86,82
5,12.59,83
5,-6.14,83
5,2.16,83
5,-12.37,83
5,1.28,83
5,14.73,84
5,-4.19,84
5,-14.7,84
5,39.2,85
5,16.1,85
5,4.81,85
5,3.31,85
5,-7.7,85
5,-6.29,85
5,2.55,85
5,17.19,86
5,41.18,86
5,15.57,86
5,14.73,86
5,12.24,86
5,-22.38,86
5,26.83,86
5,2.48,86
5,20.45,87
5,-20.9,87
5,1.16,87
5,-4.17,87
5,5.99,87
5,2.66,87
5,3.11,87
5,25.73,87
5,37.06,88
5,-1,88
5,37.67,89
5,38.65,89
5,40.71,89
5,7.76,89
5,25.46,89
5,36.91,90
5,38.46,90
5,38.38,90
5,4.19,90
5,37.92,91
5,17.14,91
5,-4.52,91
5,16.13,91
5,10.31,91
5,4.66,91
5,-3.71,91
5,20.31,92
5,39.82,92
5,40.73,92
5,19.62,92
5,6.92,92
5,-2.38,92
5,6.4,92
5,0.83,92
5,21.44,93
5,34.56,93
5,35.99,93
5,33.31,93
5,37.64,94
5,3.88,94
5,31.85,94
5,26.88,94
5,27.05,95
5,29.61,95
5,26.58,95
5,-4.98,95
5,-11.94,95
5,7.79,95
5,25.8,95
5,3.64,95
5,-0.06,95
5,33.79,96
5,22.86,96
5,31.57,96
5,28.22,96
5,30.73,96
5,29.98,96
5,9.44,96
5,6.28,96
5,2.22,96
5,1.66,96
5,3.25,96
5,38.71,97
5,23.59,97
5,25.68,97
5,26.01,97
5,20.84,98
5,36.52,98
5,24.27,98
5,23.12,98
5,21.63,98
5,-0.19,99
5,24.37,99
5,34.39,99
5,4.52,99
5,29.02,99
5,26.38,99
5,0.96,99
5,32.38,100
5,30.18,100
5,22.19,100
5,22.19,100
5,23.95,101
5,31.98,101
5,29.17,101
5,14.16,101
5,-0.28,101
5,31.22,102
5,30.23,102
5,17.5,102
5,21.14,102
5,23,102
5,28.45,103
5,21.1,104
5,31.33,105
5,12.63,105
5,24.92,105
5,20.99,105
5,18.62,106
5,29.53,106
5,18.91,106
5,21.78,106
5,0.85,106
5,30.58,107
5,24.56,107
5,7.48,107
5,10.87,108
5,33.04,108
5,26.95,108
5,15.03,109
5,22.97,109
5,23.13,109
5,23.52,110
5,31.14,111
5,4.67,111
5,23.49,111
5,9.69,113
5,24.41,113
5,24.57,115
5,18.91,125
5,20.85,125
5,21.76,130
