n,angle,val
6,31.43,66
6,15.91,66
6,34.56,67
6,36.32,67
6,18.34,67
6,33.31,68
6,26.71,68
6,5.99,69
6,20.97,69
6,19.62,70
6,34.75,70
6,35.99,71
6,36.91,71
6,27.57,72
6,29.61,72
6,30.91,72
6,32.38,73
6,31.98,73
6,29.53,73
6,34.39,74
6,31.33,74
6,29.17,74
6,22.19,74
6,20.67,74
6,20.84,75
6,23.95,75
6,24.37,75
6,27.05,75
6,15.57,75
6,33.04,75
6,4.66,75
6,21.78,75
6,21.15,75
6,34.27,75
6,28.67,75
6,2.66,76
6,23,76
6,6.28,76
6,19.36,76
6,21.44,77
6,3.88,77
6,31.85,77
6,10.31,77
6,37.69,77
6,13.76,77
6,-2.46,78
6,20.31,78
6,28.22,78
6,18.91,78
6,25.68,78
6,25.73,78
6,30.28,78
6,34.22,78
6,31.22,79
6,30.38,79
6,20.99,79
6,20.13,79
6,24.08,79
6,22.38,79
6,36.64,79
6,16.13,79
6,3.95,79
6,31.57,80
6,23.13,80
6,19.83,80
6,21.44,80
6,29.8,80
6,-2.16,81
6,31.64,81
6,32.37,81
6,23.56,81
6,3.19,81
6,17.19,82
6,9.69,82
6,3.11,82
6,25.8,82
6,21.1,82
6,21.88,82
6,24.64,82
6,20,82
6,22.96,82
6,5.69,82
6,16.09,83
6,21.6,83
6,24.57,83
6,15.58,83
6,12.24,84
6,4.81,84
6,26.01,84
6,16.1,85
6,23.59,85
6,2.16,85
6,23.54,85
6,22.1,85
6,2.31,85
6,14.73,86
6,4.52,86
6,9.12,86
6,10.87,87
6,-4.19,87
6,0.22,87
6,4.19,88
6,12.63,88
6,21.19,88
6,21.47,88
6,5.21,89
6,6.92,89
6,2.55,89
6,17.81,89
6,21.19,90
6,-9.85,90
6,-2.21,90
6,3.31,91
6,14.6,91
6,-13.14,91
6,-2.99,92
6,3.88,92
6,-10.16,92
6,2.89,93
6,-1.37,93
6,7.41,93
6,-4.52,94
6,-0.69,94
6,-11.05,94
6,-22.52,95
6,-4.69,95
6,-3.66,95
6,8.33,95
6,14.08,95
6,2.29,95
6,1.92,95
6,-4.17,96
6,1.17,96
6,6.4,96
6,8.6,96
6,12.28,96
6,1,97
6,1.28,97
6,-0.1,97
6,2.07,98
6,7.79,98
6,1.86,98
6,1.73,98
6,8.98,98
6,10.55,98
6,-0.67,99
6,-2.19,99
6,0.1,99
6,-8.82,99
6,14.08,99
6,-13.04,99
6,0.06,100
6,-7.53,100
6,9.98,100
6,1.55,100
6,-12.38,100
6,-12.15,100
6,-0.62,100
6,0.14,100
6,-3.63,101
6,-0.75,101
6,7.95,101
6,0.78,101
6,-2.22,101
6,-9.84,102
6,-21.45,102
6,-22.38,102
6,18.91,102
6,1.05,102
6,2.78,102
6,-8.65,103
6,-15.91,103
6,-7.7,103
6,-11.93,103
6,-7.72,103
6,-3.07,103
6,-6.02,104
6,-13.68,104
6,-1.52,104
6,-4.78,104
6,-0.48,104
6,1.74,104
6,-1.93,104
6,-3.22,104
6,-22.86,104
6,0.92,104
6,-1.48,105
6,1.35,105
6,-6.14,105
6,-23.61,105
6,-12.49,105
6,-11.31,105
6,-9.12,105
6,18.5,105
6,-4.06,105
6,-9.92,106
6,-22.68,106
6,-21.43,106
6,-6.54,106
